iter	Passed	Remaining
1074	8497	70548
1075	8505	70545
1076	8516	70557
1077	8531	70609
1078	8540	70609
1079	8549	70614
1080	8558	70615
1081	8567	70617
1082	8576	70615
1083	8584	70605
1084	8591	70595
1085	8599	70585
1086	8607	70581
1087	8615	70569
1088	8623	70560
1089	8630	70551
1090	8639	70548
1091	8647	70544
1092	8655	70537
1093	8664	70534
1094	8672	70530
1095	8680	70522
1096	8688	70513
1097	8695	70501
1098	8703	70489
1099	8711	70482
1100	8719	70476
1101	8728	70480
1102	8735	70466
1103	8745	70469
1104	8753	70459
1105	8761	70459
1106	8771	70466
1107	8779	70458
1108	8787	70451
1109	8794	70438
1110	8802	70431
1111	8810	70420
1112	8818	70409
1113	8826	70406
1114	8832	70383
1115	8841	70384
1116	8847	70363
1117	8856	70357
1118	8862	70339
1119	8869	70325
1120	8876	70304
1121	8882	70282
1122	8889	70266
1123	8895	70244
1124	8902	70227
1125	8907	70202
1126	8913	70178
1127	8921	70170
1128	8927	70146
1129	8934	70132
1130	8940	70108
1131	8946	70085
1132	8954	70075
1133	8959	70052
1134	8966	70037
1135	8973	70021
1136	8979	69998
1137	8986	69983
1138	8993	69963
1139	9000	69949
1140	9006	69929
1141	9012	69907
1142	9019	69891
1143	9025	69869
1144	9032	69854
1145	9038	69831
1146	9044	69809
1147	9051	69792
1148	9057	69769
1149	9065	69766
1150	9072	69751
1151	9078	69728
1152	9085	69712
1153	9091	69690
1154	9098	69673
1155	9103	69649
1156	9110	69628
1157	9116	69611
1158	9122	69589
1159	9129	69572
1160	9135	69553
1161	9141	69531
1162	9148	69515
1163	9155	69501
1164	9162	69485
1165	9169	69468
1166	9175	69447
1167	9182	69437
1168	9189	69419
1169	9196	69408
1170	9202	69387
1171	9208	69365
1172	9216	69358
1173	9222	69335
1174	9230	69325
1175	9236	69303
1176	9242	69283
1177	9248	69263
1178	9254	69241
1179	9262	69231
1180	9267	69207
1181	9273	69185
1182	9281	69176
1183	9287	69152
1184	9294	69138
1185	9300	69114
1186	9305	69091
1187	9312	69077
1188	9318	69054
1189	9325	69038
1190	9331	69018
1191	9337	68995
1192	9343	68978
1193	9349	68954
1194	9354	68929
1195	9361	68910
1196	9367	68887
1197	9373	68868
1198	9381	68859
1199	9386	68836
1200	9393	68821
1201	9400	68808
